"Description" "data" "N_anul_lotow"
"Eastern Air Lines Inc." 1987-11-28 15
"Eastern Air Lines Inc." 1987-11-06 18
"Eastern Air Lines Inc." 1987-11-07 14
"Eastern Air Lines Inc." 1987-12-10 26
"Eastern Air Lines Inc." 1987-12-25 33
"Eastern Air Lines Inc." 1987-12-01 35
"Eastern Air Lines Inc." 1987-12-29 122
"Eastern Air Lines Inc." 1987-12-09 36
"Eastern Air Lines Inc." 1987-12-27 41
"Eastern Air Lines Inc." 1987-12-28 55
"Eastern Air Lines Inc." 1987-12-18 20
"Eastern Air Lines Inc." 1987-12-16 36
"Eastern Air Lines Inc." 1987-12-21 26
"Eastern Air Lines Inc." 1987-12-13 23
"Eastern Air Lines Inc." 1987-12-06 20
"Eastern Air Lines Inc." 1987-12-08 21
"Eastern Air Lines Inc." 1987-12-14 43
"Eastern Air Lines Inc." 1987-12-02 28
"Eastern Air Lines Inc." 1987-12-03 21
"Eastern Air Lines Inc." 1987-12-04 28
"Eastern Air Lines Inc." 1987-12-05 22
"Eastern Air Lines Inc." 1987-12-07 24
"Eastern Air Lines Inc." 1987-12-11 21
"Eastern Air Lines Inc." 1987-12-12 20
"Eastern Air Lines Inc." 1987-12-23 10
"Eastern Air Lines Inc." 1987-12-31 43
"Eastern Air Lines Inc." 1987-12-20 17
"Eastern Air Lines Inc." 1987-12-30 38
"Eastern Air Lines Inc." 1987-12-19 18
"Eastern Air Lines Inc." 1987-12-15 84
"Eastern Air Lines Inc." 1987-12-17 14
"Eastern Air Lines Inc." 1987-12-24 14
"Eastern Air Lines Inc." 1987-12-26 9
"Eastern Air Lines Inc." 1987-12-22 13
"America West Airlines Inc." 1987-10-13 14
"America West Airlines Inc." 1987-10-07 5
"America West Airlines Inc." 1987-10-09 6
"America West Airlines Inc." 1987-10-12 9
"America West Airlines Inc." 1987-10-06 7
"America West Airlines Inc." 1987-10-03 8
"America West Airlines Inc." 1987-10-29 4
"America West Airlines Inc." 1987-10-08 4
"America West Airlines Inc." 1987-10-04 1
"America West Airlines Inc." 1987-10-11 1
"America West Airlines Inc." 1987-10-19 4
"America West Airlines Inc." 1987-10-27 2
"America West Airlines Inc." 1987-10-01 8
"America West Airlines Inc." 1987-10-15 14
"America West Airlines Inc." 1987-10-10 4
"America West Airlines Inc." 1987-10-21 3
"America West Airlines Inc." 1987-10-31 12
"America West Airlines Inc." 1987-10-16 13
"America West Airlines Inc." 1987-10-28 2
"America West Airlines Inc." 1987-10-30 5
"America West Airlines Inc." 1987-10-05 5
"America West Airlines Inc." 1987-10-22 3
"America West Airlines Inc." 1987-10-17 2
"America West Airlines Inc." 1987-10-02 1
"America West Airlines Inc." 1987-10-14 3
"America West Airlines Inc." 1987-10-24 5
"America West Airlines Inc." 1987-10-26 1
"America West Airlines Inc." 1987-11-03 8
"America West Airlines Inc." 1987-11-26 13
"America West Airlines Inc." 1987-11-12 6
"America West Airlines Inc." 1987-11-15 19
"America West Airlines Inc." 1987-11-01 17
"America West Airlines Inc." 1987-11-28 8
"America West Airlines Inc." 1987-11-22 7
"America West Airlines Inc." 1987-11-05 19
"America West Airlines Inc." 1987-11-25 2
"America West Airlines Inc." 1987-11-11 2
"America West Airlines Inc." 1987-11-17 5
"America West Airlines Inc." 1987-11-04 4
"America West Airlines Inc." 1987-11-29 5
"America West Airlines Inc." 1987-11-13 2
"America West Airlines Inc." 1987-11-21 4
"America West Airlines Inc." 1987-11-14 9
"America West Airlines Inc." 1987-11-02 4
"America West Airlines Inc." 1987-11-27 1
"America West Airlines Inc." 1987-11-24 4
"America West Airlines Inc." 1987-11-09 1
"America West Airlines Inc." 1987-11-18 1
"America West Airlines Inc." 1987-11-19 5
"America West Airlines Inc." 1987-11-20 5
"America West Airlines Inc." 1987-11-10 2
"America West Airlines Inc." 1987-11-07 1
"America West Airlines Inc." 1987-11-06 6
"America West Airlines Inc." 1987-12-15 20
"America West Airlines Inc." 1987-12-13 7
"America West Airlines Inc." 1987-12-14 16
"America West Airlines Inc." 1987-12-20 25
"America West Airlines Inc." 1987-12-01 18
"America West Airlines Inc." 1987-12-29 2
"America West Airlines Inc." 1987-12-11 34
"America West Airlines Inc." 1987-12-18 14
"America West Airlines Inc." 1987-12-19 6
"America West Airlines Inc." 1987-12-16 10
"America West Airlines Inc." 1987-12-17 9
"America West Airlines Inc." 1987-12-08 5
"America West Airlines Inc." 1987-12-27 14
"America West Airlines Inc." 1987-12-02 2
"America West Airlines Inc." 1987-12-06 4
"America West Airlines Inc." 1987-12-23 7
"America West Airlines Inc." 1987-12-07 5
"America West Airlines Inc." 1987-12-30 4
"America West Airlines Inc." 1987-12-31 6
"America West Airlines Inc." 1987-12-24 2
"America West Airlines Inc." 1987-12-25 4
"America West Airlines Inc." 1987-12-12 3
"America West Airlines Inc." 1987-12-26 3
"America West Airlines Inc." 1987-12-03 3
"America West Airlines Inc." 1987-12-21 1
"America West Airlines Inc." 1987-12-05 4
"America West Airlines Inc." 1987-12-04 2
"Northwest Airlines Inc." 1987-10-13 10
"Northwest Airlines Inc." 1987-10-12 27
"Northwest Airlines Inc." 1987-10-01 52
"Northwest Airlines Inc." 1987-10-31 19
"Northwest Airlines Inc." 1987-10-09 17
"Northwest Airlines Inc." 1987-10-28 7
"Northwest Airlines Inc." 1987-10-07 10
"Northwest Airlines Inc." 1987-10-06 15
"Northwest Airlines Inc." 1987-10-11 14
"Northwest Airlines Inc." 1987-10-20 6
"Northwest Airlines Inc." 1987-10-04 17
"Northwest Airlines Inc." 1987-10-05 10
"Northwest Airlines Inc." 1987-10-10 12
"Northwest Airlines Inc." 1987-10-02 27
"Northwest Airlines Inc." 1987-10-24 11
"Northwest Airlines Inc." 1987-10-26 7
"Northwest Airlines Inc." 1987-10-18 2
"Northwest Airlines Inc." 1987-10-17 1
"Northwest Airlines Inc." 1987-10-16 3
"Northwest Airlines Inc." 1987-10-03 19
"Northwest Airlines Inc." 1987-10-08 5
"Northwest Airlines Inc." 1987-10-25 5
"Northwest Airlines Inc." 1987-10-19 1
"Northwest Airlines Inc." 1987-10-23 10
"Northwest Airlines Inc." 1987-10-30 3
"Northwest Airlines Inc." 1987-10-22 7
"Northwest Airlines Inc." 1987-10-15 2
"Northwest Airlines Inc." 1987-10-21 2
"Northwest Airlines Inc." 1987-11-06 3
"Northwest Airlines Inc." 1987-11-11 57
"Northwest Airlines Inc." 1987-11-02 21
"Northwest Airlines Inc." 1987-11-12 17
"Northwest Airlines Inc." 1987-11-21 9
"Northwest Airlines Inc." 1987-11-19 1
"Northwest Airlines Inc." 1987-11-26 4
"Northwest Airlines Inc." 1987-11-01 29
"Northwest Airlines Inc." 1987-11-27 5
"Northwest Airlines Inc." 1987-11-23 10
"Northwest Airlines Inc." 1987-11-08 5
"Northwest Airlines Inc." 1987-11-17 8
"Northwest Airlines Inc." 1987-11-24 5
"Northwest Airlines Inc." 1987-11-22 5
"Northwest Airlines Inc." 1987-11-14 20
"Northwest Airlines Inc." 1987-11-16 43
