"Description" "polaczenie" "Distance" "ilosc_lotow"
"American Airlines Inc." "Islip(NY) - Chicago(IL)" 773 11021
"American Airlines Inc." "Ontario(CA) - Santa Barbara(CA)" 130 758
"American Airlines Inc." "Chicago(IL) - Ontario(CA)" 1700 10588
"American Airlines Inc." "Birmingham(AL) - Huntsville(AL)" 74 2953
"American Airlines Inc." "Dallas-Fort Worth(TX) - Birmingham(AL)" 597 22954
"American Airlines Inc." "Lubbock(TX) - Dallas-Fort Worth(TX)" 282 9682
"American Airlines Inc." "Norfolk(VA) - Dallas-Fort Worth(TX)" 1213 19564
"American Airlines Inc." "Richmond(VA) - Norfolk(VA)" 75 5071
"American Airlines Inc." "Little Rock(AR) - Dallas-Fort Worth(TX)" 304 20835
"American Airlines Inc." "Austin(TX) - Chicago(IL)" 978 33492
"American Airlines Inc." "Chicago(IL) - Arlington(VA)" 612 61412
"American Airlines Inc." "Dallas-Fort Worth(TX) - Burbank(CA)" 1231 20475
"American Airlines Inc." "Seattle(WA) - Chicago(IL)" 1721 38002
"American Airlines Inc." "Newark(NJ) - Dallas-Fort Worth(TX)" 1372 55422
"American Airlines Inc." "Chicago(IL) - Dayton(OH)" 240 9046
"American Airlines Inc." "Atlanta(GA) - Greer(SC)" 153 2052
"American Airlines Inc." "Austin(TX) - Dallas-Fort Worth(TX)" 190 86015
"American Airlines Inc." "Detroit(MI) - Dallas-Fort Worth(TX)" 987 42290
"American Airlines Inc." "Dallas-Fort Worth(TX) - Omaha(NE)" 583 28366
"American Airlines Inc." "Midland(TX) - Dallas-Fort Worth(TX)" 309 8027
"American Airlines Inc." "Newark(NJ) - Windsor Locks(CT)" 116 761
"American Airlines Inc." "Corpus Christi(TX) - Dallas-Fort Worth(TX)" 354 12268
"American Airlines Inc." "Nashville(TN) - Chicago(IL)" 409 32678
"American Airlines Inc." "Jackson(MS) - Nashville(TN)" 327 5877
"American Airlines Inc." "Boston(MA) - Chicago(IL)" 867 74453
"American Airlines Inc." "Chicago(IL) - Chantilly(VA)" 589 5378
"American Airlines Inc." "Dallas-Fort Worth(TX) - San Jose(CA)" 1438 54268
"American Airlines Inc." "Dallas-Fort Worth(TX) - Memphis(TN)" 432 29276
"American Airlines Inc." "Newark(NJ) - Chicago(IL)" 719 62022
"American Airlines Inc." "Chicago(IL) - Portland(OR)" 1739 18446
"American Airlines Inc." "Portland(OR) - Eugene(OR)" 106 4218
"American Airlines Inc." "Chicago(IL) - Minneapolis(MN)" 334 60152
"American Airlines Inc." "Dallas-Fort Worth(TX) - Tucson(AZ)" 813 47892
"American Airlines Inc." "Tucson(AZ) - Palm Springs(CA)" 344 1142
"American Airlines Inc." "Las Vegas(NV) - Chicago(IL)" 1515 35718
"American Airlines Inc." "Des Moines(IA) - Chicago(IL)" 299 9171
"American Airlines Inc." "Chicago(IL) - Sacramento(CA)" 1781 5509
"American Airlines Inc." "Sacramento(CA) - Ontario(CA)" 389 3957
"American Airlines Inc." "Dallas-Fort Worth(TX) - Cleveland(OH)" 1021 20880
"American Airlines Inc." "Dallas-Fort Worth(TX) - Baton Rouge(LA)" 383 4077
"American Airlines Inc." "Nashville(TN) - Cleveland(OH)" 448 7484
"American Airlines Inc." "Cleveland(OH) - Buffalo(NY)" 192 2567
"American Airlines Inc." "Ontario(CA) - Dallas-Fort Worth(TX)" 1189 39087
"American Airlines Inc." "Sacramento(CA) - Oakland(CA)" 75 191
"American Airlines Inc." "Dallas-Fort Worth(TX) - Oklahoma City(OK)" 175 43822
"American Airlines Inc." "Kansas City(MO) - Chicago(IL)" 403 37269
"American Airlines Inc." "Colorado Springs(CO) - Denver(CO)" 72 95
"American Airlines Inc." "Dallas-Fort Worth(TX) - Baltimore(MD)" 1217 39937
